season,daynum,wteamname,wseed,wseed_orig,wteamid,wscore,lteamname,lseed,lseed_org,lteamid,lscore,wloc,numot,point_spread,total_games,round,round_order
1985,138,Louisiana Tech,5,Y05,1256,79,Ohio St,4,Y04,1326,67,N,0,12,63,Round of 32,Round of 32
1985,138,Kentucky,12,X12,1246,64,UNLV,4,X04,1424,61,N,0,3,63,Round of 32,Round of 32
1985,138,St John's,1,X01,1385,68,Arkansas,9,X09,1116,65,N,0,3,63,Round of 32,Round of 32
1985,139,Boston College,11,Y11,1130,74,Duke,3,Y03,1181,73,N,0,1,63,Round of 32,Round of 32
1985,139,Illinois,3,W03,1228,74,Georgia,6,W06,1208,58,N,0,16,63,Round of 32,Round of 32
1985,139,Georgia Tech,2,W02,1210,70,Syracuse,7,W07,1393,53,N,0,17,63,Round of 32,Round of 32
1985,139,Villanova,8,Z08,1437,59,Michigan,1,Z01,1276,55,N,0,4,63,Round of 32,Round of 32
1985,139,Memphis,2,Y02,1272,67,UAB,7,Y07,1412,66,N,1,1,63,Round of 32,Round of 32
1985,139,Alabama,7,X07,1104,63,VCU,2,X02,1433,59,N,0,4,63,Round of 32,Round of 32
1985,139,NC State,3,X03,1301,86,UTEP,11,X11,1431,73,N,0,13,63,Round of 32,Round of 32
1985,139,Maryland,5,Z05,1268,64,Navy,13,Z13,1298,59,N,0,5,63,Round of 32,Round of 32
1985,143,Georgia Tech,2,W02,1210,61,Illinois,3,W03,1228,53,N,0,8,63,Sweet 16,Sweet 16
1985,143,Memphis,2,Y02,1272,59,Boston College,11,Y11,1130,57,N,0,2,63,Sweet 16,Sweet 16
1985,143,Georgetown,1,W01,1207,65,Loyola-Chicago,4,W04,1260,53,N,0,12,63,Sweet 16,Sweet 16
1985,143,Oklahoma,1,Y01,1328,86,Louisiana Tech,5,Y05,1256,84,N,1,2,63,Sweet 16,Sweet 16
1985,144,NC State,3,X03,1301,61,Alabama,7,X07,1104,55,N,0,6,63,Sweet 16,Sweet 16
1985,144,Villanova,8,Z08,1437,46,Maryland,5,Z05,1268,43,N,0,3,63,Sweet 16,Sweet 16
1985,144,St John's,1,X01,1385,86,Kentucky,12,X12,1246,70,N,0,16,63,Sweet 16,Sweet 16
1985,144,North Carolina,2,Z02,1314,62,Auburn,11,Z11,1120,56,N,0,6,63,Sweet 16,Sweet 16
1985,145,Georgetown,1,W01,1207,60,Georgia Tech,2,W02,1210,54,N,0,6,63,Elite Eight,Elite Eight
1985,145,Memphis,2,Y02,1272,63,Oklahoma,1,Y01,1328,61,N,0,2,63,Elite Eight,Elite Eight
1985,146,Villanova,8,Z08,1437,56,North Carolina,2,Z02,1314,44,N,0,12,63,Elite Eight,Elite Eight
1985,146,St John's,1,X01,1385,69,NC State,3,X03,1301,60,N,0,9,63,Elite Eight,Elite Eight
1985,152,Villanova,8,Z08,1437,52,Memphis,2,Y02,1272,45,N,0,7,63,Final Four,Final Four
1985,152,Georgetown,1,W01,1207,77,St John's,1,X01,1385,59,N,0,18,63,Final Four,Final Four
1985,154,Villanova,8,Z08,1437,66,Georgetown,1,W01,1207,64,N,0,2,63,Championship,Championship
1986,136,Duke,1,W01,1181,85,MS Valley St,16,W16,1290,78,N,0,7,63,Round of 64,Round of 64
1986,136,Bradley,7,Z07,1133,83,UTEP,10,Z10,1431,65,N,0,18,63,Round of 64,Round of 64
1986,136,Oklahoma,4,W04,1328,80,Northeastern,13,W13,1318,74,N,0,6,63,Round of 64,Round of 64
1986,136,Old Dominion,8,W08,1330,72,West Virginia,9,W09,1452,64,N,0,8,63,Round of 64,Round of 64
1986,136,North Carolina,3,Z03,1314,84,Utah,14,Z14,1428,72,N,0,12,63,Round of 64,Round of 64
1986,136,LSU,11,Y11,1261,94,Purdue,6,Y06,1345,87,N,1,7,63,Round of 64,Round of 64
1986,136,Temple,9,X09,1396,61,Jacksonville,8,X08,1239,50,N,1,11,63,Round of 64,Round of 64
1986,136,Memphis,3,Y03,1272,95,Ball St,14,Y14,1123,63,N,0,32,63,Round of 64,Round of 64
1986,136,Michigan St,5,X05,1277,72,Washington,12,X12,1449,70,N,0,2,63,Round of 64,Round of 64
1986,136,DePaul,12,W12,1177,72,Virginia,5,W05,1438,68,N,0,4,63,Round of 64,Round of 64
1986,136,Kansas,1,X01,1242,71,NC A&T,16,X16,1299,46,N,0,25,63,Round of 64,Round of 64
1986,136,Louisville,2,Z02,1257,93,Drexel,15,Z15,1180,73,N,0,20,63,Round of 64,Round of 64
1986,136,Georgetown,4,X04,1207,70,Texas Tech,13,X13,1403,64,N,0,6,63,Round of 64,Round of 64
1986,136,UAB,6,Z06,1412,66,Missouri,11,Z11,1281,64,N,0,2,63,Round of 64,Round of 64
1986,136,Georgia Tech,2,Y02,1210,68,Marist,15,Y15,1265,53,N,0,15,63,Round of 64,Round of 64
1986,136,Villanova,10,Y10,1437,71,Virginia Tech,7,Y07,1439,62,N,0,9,63,Round of 64,Round of 64
1986,137,Ark Little Rock,14,X14,1114,90,Notre Dame,3,X03,1323,83,N,0,7,63,Round of 64,Round of 64
1986,137,Maryland,5,Z05,1268,69,Pepperdine,12,Z12,1337,64,N,0,5,63,Round of 64,Round of 64
1986,137,Kentucky,1,Y01,1246,75,Davidson,16,Y16,1172,55,N,0,20,63,Round of 64,Round of 64
1986,137,St John's,1,Z01,1385,83,Montana St,16,Z16,1286,74,N,0,9,63,Round of 64,Round of 64
1986,137,Iowa St,7,X07,1235,81,Miami OH,10,X10,1275,79,N,1,2,63,Round of 64,Round of 64
1986,137,Syracuse,2,W02,1393,101,Brown,15,W15,1135,52,N,0,49,63,Round of 64,Round of 64
1986,137,Alabama,5,Y05,1104,97,Xavier,12,Y12,1462,80,N,0,17,63,Round of 64,Round of 64
1986,137,Illinois,4,Y04,1228,75,Fairfield,13,Y13,1193,51,N,0,24,63,Round of 64,Round of 64
1986,137,WKU,8,Y08,1443,67,Nebraska,9,Y09,1304,59,N,0,8,63,Round of 64,Round of 64
1986,137,UNLV,4,Z04,1424,74,ULM,13,Z13,1419,51,N,0,23,63,Round of 64,Round of 64
1986,137,NC State,6,X06,1301,66,Iowa,11,X11,1234,64,N,0,2,63,Round of 64,Round of 64
1986,137,Cleveland St,14,W14,1156,83,Indiana,3,W03,1231,79,N,0,4,63,Round of 64,Round of 64
1986,137,Michigan,2,X02,1276,70,Akron,15,X15,1103,64,N,0,6,63,Round of 64,Round of 64
1986,137,St Joseph's PA,6,W06,1386,60,Richmond,11,W11,1350,59,N,0,1,63,Round of 64,Round of 64
1986,137,Navy,7,W07,1298,87,Tulsa,10,W10,1409,68,N,0,19,63,Round of 64,Round of 64
1986,137,Auburn,8,Z08,1120,73,Arizona,9,Z09,1112,63,N,0,10,63,Round of 64,Round of 64
1986,138,Duke,1,W01,1181,89,Old Dominion,8,W08,1330,61,N,0,28,63,Round of 32,Round of 32
1986,138,North Carolina,3,Z03,1314,77,UAB,6,Z06,1412,59,N,0,18,63,Round of 32,Round of 32
1986,138,Georgia Tech,2,Y02,1210,66,Villanova,10,Y10,1437,61,N,0,5,63,Round of 32,Round of 32
1986,138,Louisville,2,Z02,1257,82,Bradley,7,Z07,1133,68,N,0,14,63,Round of 32,Round of 32
1986,138,DePaul,12,W12,1177,74,Oklahoma,4,W04,1328,69,N,0,5,63,Round of 32,Round of 32
1986,138,LSU,11,Y11,1261,83,Memphis,3,Y03,1272,81,N,0,2,63,Round of 32,Round of 32
1986,138,Kansas,1,X01,1242,65,Temple,9,X09,1396,43,N,0,22,63,Round of 32,Round of 32
1986,138,Michigan St,5,X05,1277,80,Georgetown,4,X04,1207,68,N,0,12,63,Round of 32,Round of 32
1986,139,UNLV,4,Z04,1424,70,Maryland,5,Z05,1268,64,N,0,6,63,Round of 32,Round of 32
1986,139,NC State,6,X06,1301,80,Ark Little Rock,14,X14,1114,66,N,1,14,63,Round of 32,Round of 32
1986,139,Kentucky,1,Y01,1246,71,WKU,8,Y08,1443,64,N,0,7,63,Round of 32,Round of 32
1986,139,Auburn,8,Z08,1120,81,St John's,1,Z01,1385,65,N,0,16,63,Round of 32,Round of 32
1986,139,Alabama,5,Y05,1104,58,Illinois,4,Y04,1228,56,N,0,2,63,Round of 32,Round of 32
1986,139,Cleveland St,14,W14,1156,75,St Joseph's PA,6,W06,1386,69,N,0,6,63,Round of 32,Round of 32
1986,139,Navy,7,W07,1298,97,Syracuse,2,W02,1393,85,N,0,12,63,Round of 32,Round of 32
1986,139,Iowa St,7,X07,1235,72,Michigan,2,X02,1276,69,N,0,3,63,Round of 32,Round of 32
1986,143,Auburn,8,Z08,1120,70,UNLV,4,Z04,1424,63,N,0,7,63,Sweet 16,Sweet 16
1986,143,Louisville,2,Z02,1257,94,North Carolina,3,Z03,1314,79,N,0,15,63,Sweet 16,Sweet 16
1986,143,Kentucky,1,Y01,1246,68,Alabama,5,Y05,1104,63,N,0,5,63,Sweet 16,Sweet 16
1986,143,LSU,11,Y11,1261,70,Georgia Tech,2,Y02,1210,64,N,0,6,63,Sweet 16,Sweet 16
1986,144,NC State,6,X06,1301,70,Iowa St,7,X07,1235,66,N,0,4,63,Sweet 16,Sweet 16
1986,144,Navy,7,W07,1298,71,Cleveland St,14,W14,1156,70,N,0,1,63,Sweet 16,Sweet 16
1986,144,Duke,1,W01,1181,74,DePaul,12,W12,1177,67,N,0,7,63,Sweet 16,Sweet 16
1986,144,Kansas,1,X01,1242,96,Michigan St,5,X05,1277,86,N,1,10,63,Sweet 16,Sweet 16
1986,145,LSU,11,Y11,1261,59,Kentucky,1,Y01,1246,57,N,0,2,63,Elite Eight,Elite Eight
1986,145,Louisville,2,Z02,1257,84,Auburn,8,Z08,1120,76,N,0,8,63,Elite Eight,Elite Eight
1986,146,Kansas,1,X01,1242,75,NC State,6,X06,1301,67,N,0,8,63,Elite Eight,Elite Eight
1986,146,Duke,1,W01,1181,71,Navy,7,W07,1298,50,N,0,21,63,Elite Eight,Elite Eight
1986,152,Louisville,2,Z02,1257,88,LSU,11,Y11,1261,77,N,0,11,63,Final Four,Final Four
1986,152,Duke,1,W01,1181,71,Kansas,1,X01,1242,67,N,0,4,63,Final Four,Final Four
1986,154,Louisville,2,Z02,1257,72,Duke,1,W01,1181,69,N,0,3,63,Championship,Championship
1987,136,Alabama,2,X02,1104,88,NC A&T,15,X15,1299,71,N,0,17,63,Round of 64,Round of 64
1987,136,Wyoming,12,Z12,1461,64,Virginia,5,Z05,1438,60,N,0,4,63,Round of 64,Round of 64
1987,136,UCLA,4,Z04,1417,92,C Michigan,13,Z13,1141,73,N,0,19,63,Round of 64,Round of 64
1987,136,Michigan,9,W09,1276,97,Navy,8,W08,1298,82,N,0,15,63,Round of 64,Round of 64
1987,136,UNLV,1,Z01,1424,95,Idaho St,16,Z16,1226,70,N,0,25,63,Round of 64,Round of 64
1987,136,North Carolina,1,W01,1314,113,Penn,16,W16,1335,82,N,0,31,63,Round of 64,Round of 64
1987,136,Xavier,13,Y13,1462,70,Missouri,4,Y04,1281,69,N,0,1,63,Round of 64,Round of 64
1987,136,Kansas St,9,Z09,1243,82,Georgia,8,Z08,1208,79,N,1,3,63,Round of 64,Round of 64
1987,136,Notre Dame,5,W05,1323,84,MTSU,12,W12,1292,71,N,0,13,63,Round of 64,Round of 64
1987,136,Indiana,1,Y01,1231,92,Fairfield,16,Y16,1193,58,N,0,34,63,Round of 64,Round of 64
1987,136,New Orleans,7,X07,1309,83,BYU,10,X10,1140,79,N,0,4,63,Round of 64,Round of 64
1987,136,Auburn,8,Y08,1120,62,San Diego,9,Y09,1360,61,N,0,1,63,Round of 64,Round of 64
1987,136,TCU,4,W04,1395,76,Marshall,13,W13,1267,60,N,0,16,63,Round of 64,Round of 64
1987,136,Duke,5,Y05,1181,58,Texas A&M,12,Y12,1401,51,N,0,7,63,Round of 64,Round of 64
1987,136,Providence,6,X06,1344,90,UAB,11,X11,1412,68,N,0,22,63,Round of 64,Round of 64
1987,136,Austin Peay,14,X14,1122,68,Illinois,3,X03,1228,67,N,0,1,63,Round of 64,Round of 64
1987,137,Florida,6,W06,1196,82,NC State,11,W11,1301,70,N,0,12,63,Round of 64,Round of 64
1987,137,WKU,10,W10,1443,64,West Virginia,7,W07,1452,62,N,0,2,63,Round of 64,Round of 64
1987,137,UTEP,7,Z07,1431,98,Arizona,10,Z10,1112,91,N,1,7,63,Round of 64,Round of 64
1987,137,Purdue,3,W03,1345,104,Northeastern,14,W14,1318,95,N,0,9,63,Round of 64,Round of 64
1987,137,St John's,6,Y06,1385,57,Wichita St,11,Y11,1455,55,N,0,2,63,Round of 64,Round of 64
1987,137,LSU,10,Y10,1261,85,Georgia Tech,7,Y07,1210,79,N,0,6,63,Round of 64,Round of 64
1987,137,Kansas,5,X05,1242,66,Houston,12,X12,1222,55,N,0,11,63,Round of 64,Round of 64
1987,137,DePaul,3,Y03,1177,76,Louisiana Tech,14,Y14,1256,62,N,0,14,63,Round of 64,Round of 64
1987,137,Oklahoma,6,Z06,1328,74,Tulsa,11,Z11,1409,69,N,0,5,63,Round of 64,Round of 64
1987,137,Syracuse,2,W02,1393,79,Ga Southern,15,W15,1204,73,N,0,6,63,Round of 64,Round of 64
1987,137,Missouri St,13,X13,1283,65,Clemson,4,X04,1155,60,N,0,5,63,Round of 64,Round of 64
1987,137,Ohio St,9,X09,1326,91,Kentucky,8,X08,1246,77,N,0,14,63,Round of 64,Round of 64
1987,137,Temple,2,Y02,1396,75,Southern Univ,15,Y15,1380,56,N,0,19,63,Round of 64,Round of 64
1987,137,Pittsburgh,3,Z03,1338,93,Marist,14,Z14,1265,68,N,0,25,63,Round of 64,Round of 64
1987,137,Georgetown,1,X01,1207,75,Bucknell,16,X16,1137,53,N,0,22,63,Round of 64,Round of 64
1987,137,Iowa,2,Z02,1234,99,Santa Clara,15,Z15,1365,76,N,0,23,63,Round of 64,Round of 64
1987,138,Providence,6,X06,1344,90,Austin Peay,14,X14,1122,87,N,1,3,63,Round of 32,Round of 32
1987,138,Notre Dame,5,W05,1323,58,TCU,4,W04,1395,57,N,0,1,63,Round of 32,Round of 32
1987,138,Wyoming,12,Z12,1461,78,UCLA,4,Z04,1417,68,N,0,10,63,Round of 32,Round of 32
1987,138,UNLV,1,Z01,1424,80,Kansas St,9,Z09,1243,61,N,0,19,63,Round of 32,Round of 32
1987,138,Alabama,2,X02,1104,101,New Orleans,7,X07,1309,76,N,0,25,63,Round of 32,Round of 32
1987,138,North Carolina,1,W01,1314,109,Michigan,9,W09,1276,97,N,0,12,63,Round of 32,Round of 32
1987,138,Indiana,1,Y01,1231,107,Auburn,8,Y08,1120,90,N,0,17,63,Round of 32,Round of 32
1987,138,Duke,5,Y05,1181,65,Xavier,13,Y13,1462,60,N,0,5,63,Round of 32,Round of 32
1987,139,DePaul,3,Y03,1177,83,St John's,6,Y06,1385,75,N,1,8,63,Round of 32,Round of 32
1987,139,LSU,10,Y10,1261,72,Temple,2,Y02,1396,62,N,0,10,63,Round of 32,Round of 32
1987,139,Syracuse,2,W02,1393,104,WKU,10,W10,1443,86,N,0,18,63,Round of 32,Round of 32
1987,139,Kansas,5,X05,1242,67,Missouri St,13,X13,1283,63,N,0,4,63,Round of 32,Round of 32
1987,139,Iowa,2,Z02,1234,84,UTEP,7,Z07,1431,82,N,0,2,63,Round of 32,Round of 32
1987,139,Georgetown,1,X01,1207,82,Ohio St,9,X09,1326,79,N,0,3,63,Round of 32,Round of 32
1987,139,Oklahoma,6,Z06,1328,96,Pittsburgh,3,Z03,1338,93,N,0,3,63,Round of 32,Round of 32
1987,139,Florida,6,W06,1196,85,Purdue,3,W03,1345,66,N,0,19,63,Round of 32,Round of 32
1987,143,Georgetown,1,X01,1207,70,Kansas,5,X05,1242,57,N,0,13,63,Sweet 16,Sweet 16
1987,143,Providence,6,X06,1344,103,Alabama,2,X02,1104,82,N,0,21,63,Sweet 16,Sweet 16
1987,143,Syracuse,2,W02,1393,87,Florida,6,W06,1196,81,N,0,6,63,Sweet 16,Sweet 16
1987,143,North Carolina,1,W01,1314,74,Notre Dame,5,W05,1323,68,N,0,6,63,Sweet 16,Sweet 16
1987,144,Iowa,2,Z02,1234,93,Oklahoma,6,Z06,1328,91,N,1,2,63,Sweet 16,Sweet 16
1987,144,Indiana,1,Y01,1231,88,Duke,5,Y05,1181,82,N,0,6,63,Sweet 16,Sweet 16
1987,144,LSU,10,Y10,1261,63,DePaul,3,Y03,1177,58,N,0,5,63,Sweet 16,Sweet 16
1987,144,UNLV,1,Z01,1424,92,Wyoming,12,Z12,1461,78,N,0,14,63,Sweet 16,Sweet 16
1987,145,Providence,6,X06,1344,88,Georgetown,1,X01,1207,73,N,0,15,63,Elite Eight,Elite Eight
1987,145,Syracuse,2,W02,1393,79,North Carolina,1,W01,1314,75,N,0,4,63,Elite Eight,Elite Eight
1987,146,Indiana,1,Y01,1231,77,LSU,10,Y10,1261,76,N,0,1,63,Elite Eight,Elite Eight
1987,146,UNLV,1,Z01,1424,84,Iowa,2,Z02,1234,81,N,0,3,63,Elite Eight,Elite Eight
1987,152,Syracuse,2,W02,1393,77,Providence,6,X06,1344,63,N,0,14,63,Final Four,Final Four
1987,152,Indiana,1,Y01,1231,97,UNLV,1,Z01,1424,93,N,0,4,63,Final Four,Final Four
1987,154,Indiana,1,Y01,1231,74,Syracuse,2,W02,1393,73,N,0,1,63,Championship,Championship
1988,136,Rhode Island,11,W11,1348,87,Missouri,6,W06,1281,80,N,0,7,63,Round of 64,Round of 64
1988,136,DePaul,5,X05,1177,83,Wichita St,12,X12,1455,62,N,0,21,63,Round of 64,Round of 64
1988,136,Oklahoma,1,Y01,1328,94,Chattanooga,16,Y16,1151,66,N,0,28,63,Round of 64,Round of 64
1988,136,Auburn,8,Y08,1120,90,Bradley,9,Y09,1133,86,N,0,4,63,Round of 64,Round of 64
1988,136,Florida,6,Z06,1196,62,St John's,11,Z11,1385,59,N,0,3,63,Round of 64,Round of 64
1988,136,Louisville,5,Y05,1257,70,Oregon St,12,Y12,1333,61,N,0,9,63,Round of 64,Round of 64
1988,136,Michigan,3,Z03,1276,63,Boise St,14,Z14,1129,58,N,0,5,63,Round of 64,Round of 64
1988,136,Kansas St,4,X04,1243,66,La Salle,13,X13,1247,53,N,0,13,63,Round of 64,Round of 64
1988,136,SMU,7,W07,1374,83,Notre Dame,10,W10,1323,75,N,0,8,63,Round of 64,Round of 64
1988,136,Syracuse,3,W03,1393,69,NC A&T,14,W14,1299,55,N,0,14,63,Round of 64,Round of 64
1988,136,North Carolina,2,Z02,1314,83,North Texas,15,Z15,1317,65,N,0,18,63,Round of 64,Round of 64
1988,136,Memphis,9,X09,1272,75,Baylor,8,X08,1124,60,N,0,15,63,Round of 64,Round of 64
1988,136,Duke,2,W02,1181,85,Boston Univ,15,W15,1131,69,N,0,16,63,Round of 64,Round of 64
1988,136,Purdue,1,X01,1345,94,F Dickinson,16,X16,1192,79,N,0,15,63,Round of 64,Round of 64
1988,136,BYU,4,Y04,1140,98,Charlotte,13,Y13,1150,92,N,1,6,63,Round of 64,Round of 64
1988,136,Loy Marymount,10,Z10,1258,119,Wyoming,7,Z07,1461,115,N,0,4,63,Round of 64,Round of 64
1988,137,UNLV,4,Z04,1424,54,Missouri St,13,Z13,1283,50,N,0,4,63,Round of 64,Round of 64
1988,137,Villanova,6,Y06,1437,82,Arkansas,11,Y11,1116,74,N,0,8,63,Round of 64,Round of 64
1988,137,Kentucky,2,Y02,1246,99,Southern Univ,15,Y15,1380,84,N,0,15,63,Round of 64,Round of 64
1988,137,Kansas,6,X06,1242,85,Xavier,11,X11,1462,72,N,0,13,63,Round of 64,Round of 64
1988,137,Maryland,7,Y07,1268,92,UC Santa Barbara,10,Y10,1364,82,N,0,10,63,Round of 64,Round of 64
1988,137,Arizona,1,Z01,1112,90,Cornell,16,Z16,1165,50,N,0,40,63,Round of 64,Round of 64
1988,137,Temple,1,W01,1396,87,Lehigh,16,W16,1250,73,N,0,14,63,Round of 64,Round of 64
1988,137,Vanderbilt,7,X07,1435,80,Utah St,10,X10,1429,77,N,0,3,63,Round of 64,Round of 64
1988,137,Georgetown,8,W08,1207,66,LSU,9,W09,1261,63,N,0,3,63,Round of 64,Round of 64
1988,137,Georgia Tech,5,W05,1210,90,Iowa St,12,W12,1235,78,N,0,12,63,Round of 64,Round of 64
1988,137,Iowa,5,Z05,1234,102,Florida St,12,Z12,1199,98,N,0,4,63,Round of 64,Round of 64
1988,137,Seton Hall,8,Z08,1371,80,UTEP,9,Z09,1431,64,N,0,16,63,Round of 64,Round of 64
1988,137,Illinois,3,Y03,1228,81,UT San Antonio,14,Y14,1427,72,N,0,9,63,Round of 64,Round of 64
1988,137,Richmond,13,W13,1350,72,Indiana,4,W04,1231,69,N,0,3,63,Round of 64,Round of 64
1988,137,Pittsburgh,2,X02,1338,108,E Michigan,15,X15,1185,90,N,0,18,63,Round of 64,Round of 64
1988,137,Murray St,14,X14,1293,78,NC State,3,X03,1301,75,N,0,3,63,Round of 64,Round of 64
1988,138,Duke,2,W02,1181,94,SMU,7,W07,1374,79,N,0,15,63,Round of 32,Round of 32
1988,138,Michigan,3,Z03,1276,108,Florida,6,Z06,1196,85,N,0,23,63,Round of 32,Round of 32
1988,138,North Carolina,2,Z02,1314,123,Loy Marymount,10,Z10,1258,97,N,0,26,63,Round of 32,Round of 32
1988,138,Oklahoma,1,Y01,1328,107,Auburn,8,Y08,1120,87,N,0,20,63,Round of 32,Round of 32
1988,138,Purdue,1,X01,1345,100,Memphis,9,X09,1272,73,N,0,27,63,Round of 32,Round of 32
1988,138,Rhode Island,11,W11,1348,97,Syracuse,3,W03,1393,94,N,0,3,63,Round of 32,Round of 32
1988,138,Kansas St,4,X04,1243,66,DePaul,5,X05,1177,58,N,0,8,63,Round of 32,Round of 32
1988,138,Louisville,5,Y05,1257,97,BYU,4,Y04,1140,76,N,0,21,63,Round of 32,Round of 32
1988,139,Richmond,13,W13,1350,59,Georgia Tech,5,W05,1210,55,N,0,4,63,Round of 32,Round of 32
1988,139,Villanova,6,Y06,1437,66,Illinois,3,Y03,1228,63,N,0,3,63,Round of 32,Round of 32
1988,139,Arizona,1,Z01,1112,84,Seton Hall,8,Z08,1371,55,N,0,29,63,Round of 32,Round of 32
1988,139,Iowa,5,Z05,1234,104,UNLV,4,Z04,1424,86,N,0,18,63,Round of 32,Round of 32
1988,139,Kentucky,2,Y02,1246,90,Maryland,7,Y07,1268,81,N,0,9,63,Round of 32,Round of 32
1988,139,Kansas,6,X06,1242,61,Murray St,14,X14,1293,58,N,0,3,63,Round of 32,Round of 32
1988,139,Temple,1,W01,1396,74,Georgetown,8,W08,1207,53,N,0,21,63,Round of 32,Round of 32
1988,139,Vanderbilt,7,X07,1435,80,Pittsburgh,2,X02,1338,74,N,1,6,63,Round of 32,Round of 32
1988,143,Oklahoma,1,Y01,1328,108,Louisville,5,Y05,1257,98,N,0,10,63,Sweet 16,Sweet 16
1988,143,Temple,1,W01,1396,69,Richmond,13,W13,1350,47,N,0,22,63,Sweet 16,Sweet 16
1988,143,Villanova,6,Y06,1437,80,Kentucky,2,Y02,1246,74,N,0,6,63,Sweet 16,Sweet 16
1988,143,Duke,2,W02,1181,73,Rhode Island,11,W11,1348,72,N,0,1,63,Sweet 16,Sweet 16
1988,144,Kansas,6,X06,1242,77,Vanderbilt,7,X07,1435,64,N,0,13,63,Sweet 16,Sweet 16
