season,seasontype,week,poll,rank,team,conference,firstplacevotes
2013,regular,2,Coaches Poll,13,Notre Dame,FBS Independents,0
2013,regular,2,Coaches Poll,14,Oklahoma State,Big 12,0
2013,regular,2,Coaches Poll,15,Oklahoma,Big 12,0
2013,regular,2,Coaches Poll,16,Texas,Big 12,0
2013,regular,2,Coaches Poll,17,Michigan,Big Ten,0
2013,regular,2,Coaches Poll,18,UCLA,Pac-12,0
2013,regular,2,Coaches Poll,19,Nebraska,Big Ten,0
2013,regular,2,Coaches Poll,20,Northwestern,Big Ten,0
2013,regular,2,Coaches Poll,21,Wisconsin,Big Ten,0
2013,regular,2,Coaches Poll,22,USC,Pac-12,0
2013,regular,2,Coaches Poll,23,Washington,Pac-12,0
2013,regular,2,Coaches Poll,24,TCU,Big 12,0
2013,regular,2,Coaches Poll,24,Miami,ACC,0
2013,regular,3,AP Top 25,1,Alabama,SEC,57
2013,regular,3,AP Top 25,2,Oregon,Pac-12,1
2013,regular,3,AP Top 25,3,Clemson,ACC,1
2013,regular,3,AP Top 25,4,Ohio State,Big Ten,1
2013,regular,3,AP Top 25,5,Stanford,Pac-12,0
2013,regular,3,AP Top 25,6,Texas A&M,SEC,0
2013,regular,3,AP Top 25,7,Louisville,American Athletic,0
2013,regular,3,AP Top 25,8,LSU,SEC,0
2013,regular,3,AP Top 25,9,Georgia,SEC,0
2013,regular,3,AP Top 25,10,Florida State,ACC,0
2013,regular,3,AP Top 25,11,Michigan,Big Ten,0
2013,regular,3,AP Top 25,12,Oklahoma State,Big 12,0
2013,regular,3,AP Top 25,13,South Carolina,SEC,0
2013,regular,3,AP Top 25,14,Oklahoma,Big 12,0
2013,regular,3,AP Top 25,15,Miami,ACC,0
2013,regular,3,AP Top 25,16,UCLA,Pac-12,0
2013,regular,3,AP Top 25,17,Northwestern,Big Ten,0
2013,regular,3,AP Top 25,18,Florida,SEC,0
2013,regular,3,AP Top 25,19,Washington,Pac-12,0
2013,regular,3,AP Top 25,20,Wisconsin,Big Ten,0
2013,regular,3,AP Top 25,21,Notre Dame,FBS Independents,0
2013,regular,3,AP Top 25,22,Baylor,Big 12,0
2013,regular,3,AP Top 25,23,Nebraska,Big Ten,0
2013,regular,3,AP Top 25,24,TCU,Big 12,0
2013,regular,3,AP Top 25,25,Ole Miss,SEC,0
2013,regular,3,Coaches Poll,1,Alabama,SEC,58
2013,regular,3,Coaches Poll,2,Oregon,Pac-12,1
2013,regular,3,Coaches Poll,3,Ohio State,Big Ten,2
2013,regular,3,Coaches Poll,4,Stanford,Pac-12,0
2013,regular,3,Coaches Poll,5,Clemson,ACC,0
2013,regular,3,Coaches Poll,6,Texas A&M,SEC,1
2013,regular,3,Coaches Poll,7,Louisville,American Athletic,0
2013,regular,3,Coaches Poll,8,LSU,SEC,0
2013,regular,3,Coaches Poll,9,Florida State,ACC,0
2013,regular,3,Coaches Poll,10,Georgia,SEC,0
2013,regular,3,Coaches Poll,11,Oklahoma State,Big 12,0
2013,regular,3,Coaches Poll,12,Michigan,Big Ten,0
2013,regular,3,Coaches Poll,13,Oklahoma,Big 12,0
2013,regular,3,Coaches Poll,14,South Carolina,SEC,0
2013,regular,3,Coaches Poll,15,Nebraska,Big Ten,0
2013,regular,3,Coaches Poll,16,Northwestern,Big Ten,0
2013,regular,3,Coaches Poll,17,UCLA,Pac-12,0
2013,regular,3,Coaches Poll,18,Wisconsin,Big Ten,0
2013,regular,3,Coaches Poll,18,Miami,ACC,0
2013,regular,3,Coaches Poll,20,Florida,SEC,0
2013,regular,3,Coaches Poll,21,Notre Dame,FBS Independents,0
2013,regular,3,Coaches Poll,22,Baylor,Big 12,0
2013,regular,3,Coaches Poll,23,Washington,Pac-12,0
2013,regular,3,Coaches Poll,24,TCU,Big 12,0
2013,regular,3,Coaches Poll,25,Ole Miss,SEC,0
2013,regular,3,AFCA Division II Coaches Poll,1,Valdosta State,,29
2013,regular,3,AFCA Division II Coaches Poll,2,Minnesota State Mankato,,2
2013,regular,3,AFCA Division II Coaches Poll,3,Northwest Missouri St,,0
2013,regular,3,AFCA Division II Coaches Poll,4,West Texas A&M,,0
2013,regular,3,AFCA Division II Coaches Poll,5,CSU Pueblo,,1
2013,regular,3,AFCA Division II Coaches Poll,6,Missouri Western,,0
2013,regular,3,AFCA Division II Coaches Poll,7,Minnesota Duluth,,0
2013,regular,3,AFCA Division II Coaches Poll,8,Indiana-Pennsylvania,,0
2013,regular,3,AFCA Division II Coaches Poll,9,Henderson State,,0
2013,regular,3,AFCA Division II Coaches Poll,10,Grand Valley State University,,0
2013,regular,3,AFCA Division II Coaches Poll,11,Carson-Newman College,,0
2013,regular,3,AFCA Division II Coaches Poll,12,West Alabama,,0
2013,regular,3,AFCA Division II Coaches Poll,13,Midwestern State,,0
2013,regular,3,AFCA Division II Coaches Poll,14,Indianapolis,,0
2013,regular,3,AFCA Division II Coaches Poll,15,Bloomsburg,,0
2013,regular,3,AFCA Division II Coaches Poll,16,Pittsburg St,,0
2013,regular,3,AFCA Division II Coaches Poll,17,Shepherd,,0
2013,regular,3,AFCA Division II Coaches Poll,18,Chadron St,,0
2013,regular,3,AFCA Division II Coaches Poll,19,Tuskegee,,0
2013,regular,3,AFCA Division II Coaches Poll,20,Winston-Salem,CIAA,0
2013,regular,3,AFCA Division II Coaches Poll,21,Ashland,,0
2013,regular,3,AFCA Division II Coaches Poll,22,North Alabama,,0
2013,regular,3,AFCA Division II Coaches Poll,23,West Chester,,0
2013,regular,3,AFCA Division II Coaches Poll,23,UNC Pembroke,,0
2013,regular,3,AFCA Division II Coaches Poll,25,Delta State,,0
2013,regular,4,AP Top 25,1,Alabama,SEC,59
2013,regular,4,AP Top 25,2,Oregon,Pac-12,1
2013,regular,4,AP Top 25,3,Clemson,ACC,0
2013,regular,4,AP Top 25,4,Ohio State,Big Ten,0
2013,regular,4,AP Top 25,5,Stanford,Pac-12,0
2013,regular,4,AP Top 25,6,LSU,SEC,0
2013,regular,4,AP Top 25,7,Louisville,American Athletic,0
2013,regular,4,AP Top 25,8,Florida State,ACC,0
2013,regular,4,AP Top 25,9,Georgia,SEC,0
2013,regular,4,AP Top 25,10,Texas A&M,SEC,0
2013,regular,4,AP Top 25,11,Oklahoma State,Big 12,0
2013,regular,4,AP Top 25,12,South Carolina,SEC,0
2013,regular,4,AP Top 25,13,UCLA,Pac-12,0
2013,regular,4,AP Top 25,14,Oklahoma,Big 12,0
2013,regular,4,AP Top 25,15,Michigan,Big Ten,0
2013,regular,4,AP Top 25,16,Miami,ACC,0
2013,regular,4,AP Top 25,17,Washington,Pac-12,0
2013,regular,4,AP Top 25,18,Northwestern,Big Ten,0
2013,regular,4,AP Top 25,19,Florida,SEC,0
2013,regular,4,AP Top 25,20,Baylor,Big 12,0
2013,regular,4,AP Top 25,21,Ole Miss,SEC,0
2013,regular,4,AP Top 25,22,Notre Dame,FBS Independents,0
2013,regular,4,AP Top 25,23,Arizona State,Pac-12,0
2013,regular,4,AP Top 25,24,Wisconsin,Big Ten,0
2013,regular,4,AP Top 25,25,Texas Tech,Big 12,0
2013,regular,4,Coaches Poll,1,Alabama,SEC,61
2013,regular,4,Coaches Poll,2,Oregon,Pac-12,1
2013,regular,4,Coaches Poll,3,Ohio State,Big Ten,0
2013,regular,4,Coaches Poll,4,Clemson,ACC,0
2013,regular,4,Coaches Poll,5,Stanford,Pac-12,0
2013,regular,4,Coaches Poll,6,Louisville,American Athletic,0
2013,regular,4,Coaches Poll,7,LSU,SEC,0
2013,regular,4,Coaches Poll,8,Florida State,ACC,0
2013,regular,4,Coaches Poll,9,Texas A&M,SEC,0
2013,regular,4,Coaches Poll,10,Georgia,SEC,0
2013,regular,4,Coaches Poll,11,Oklahoma State,Big 12,0
2013,regular,4,Coaches Poll,12,Oklahoma,Big 12,0
2013,regular,4,Coaches Poll,13,South Carolina,SEC,0
2013,regular,4,Coaches Poll,14,Michigan,Big Ten,0
2013,regular,4,Coaches Poll,15,UCLA,Pac-12,0
2013,regular,4,Coaches Poll,16,Northwestern,Big Ten,0
2013,regular,4,Coaches Poll,17,Miami,ACC,0
2013,regular,4,Coaches Poll,18,Florida,SEC,0
2013,regular,4,Coaches Poll,19,Baylor,Big 12,0
2013,regular,4,Coaches Poll,20,Washington,Pac-12,0
2013,regular,4,Coaches Poll,21,Notre Dame,FBS Independents,0
2013,regular,4,Coaches Poll,22,Ole Miss,SEC,0
2013,regular,4,Coaches Poll,23,Arizona State,Pac-12,0
2013,regular,4,Coaches Poll,24,Michigan State,Big Ten,0
2013,regular,4,Coaches Poll,25,Fresno State,Mountain West,0
2013,regular,4,AFCA Division II Coaches Poll,1,Valdosta State,,28
2013,regular,4,AFCA Division II Coaches Poll,2,Minnesota State Mankato,,3
2013,regular,4,AFCA Division II Coaches Poll,3,Northwest Missouri St,,0
2013,regular,4,AFCA Division II Coaches Poll,4,West Texas A&M,,0
2013,regular,4,AFCA Division II Coaches Poll,5,CSU Pueblo,,1
2013,regular,4,AFCA Division II Coaches Poll,6,Missouri Western,,0
2013,regular,4,AFCA Division II Coaches Poll,7,Minnesota Duluth,,0
2013,regular,4,AFCA Division II Coaches Poll,8,Indiana-Pennsylvania,,0
2013,regular,4,AFCA Division II Coaches Poll,9,Henderson State,,0
2013,regular,4,AFCA Division II Coaches Poll,10,Grand Valley State University,,0
2013,regular,4,AFCA Division II Coaches Poll,11,Carson-Newman College,,0
2013,regular,4,AFCA Division II Coaches Poll,12,Indianapolis,,0
2013,regular,4,AFCA Division II Coaches Poll,13,Bloomsburg,,0
2013,regular,4,AFCA Division II Coaches Poll,14,Pittsburg St,,0
2013,regular,4,AFCA Division II Coaches Poll,15,Shepherd,,0
2013,regular,4,AFCA Division II Coaches Poll,16,West Alabama,,0
2013,regular,4,AFCA Division II Coaches Poll,17,Tuskegee,,0
2013,regular,4,AFCA Division II Coaches Poll,18,UNC Pembroke,,0
2013,regular,4,AFCA Division II Coaches Poll,19,Winston-Salem,CIAA,0
2013,regular,4,AFCA Division II Coaches Poll,20,West Chester,,0
2013,regular,4,AFCA Division II Coaches Poll,21,Chadron St,,0
2013,regular,4,AFCA Division II Coaches Poll,22,Washburn,,0
2013,regular,4,AFCA Division II Coaches Poll,23,St. Cloud State,,0
2013,regular,4,AFCA Division II Coaches Poll,24,North Alabama,,0
2013,regular,4,AFCA Division II Coaches Poll,25,Midwestern State,,0
2013,regular,5,AP Top 25,1,Alabama,SEC,56
2013,regular,5,AP Top 25,2,Oregon,Pac-12,4
2013,regular,5,AP Top 25,3,Clemson,ACC,0
2013,regular,5,AP Top 25,4,Ohio State,Big Ten,0
2013,regular,5,AP Top 25,5,Stanford,Pac-12,0
2013,regular,5,AP Top 25,6,LSU,SEC,0
2013,regular,5,AP Top 25,7,Louisville,American Athletic,0
2013,regular,5,AP Top 25,8,Florida State,ACC,0
2013,regular,5,AP Top 25,9,Georgia,SEC,0
2013,regular,5,AP Top 25,10,Texas A&M,SEC,0
2013,regular,5,AP Top 25,11,Oklahoma State,Big 12,0
2013,regular,5,AP Top 25,12,South Carolina,SEC,0
2013,regular,5,AP Top 25,13,UCLA,Pac-12,0
2013,regular,5,AP Top 25,14,Oklahoma,Big 12,0
2013,regular,5,AP Top 25,15,Miami,ACC,0
2013,regular,5,AP Top 25,16,Washington,Pac-12,0
2013,regular,5,AP Top 25,17,Northwestern,Big Ten,0
2013,regular,5,AP Top 25,18,Michigan,Big Ten,0
2013,regular,5,AP Top 25,19,Baylor,Big 12,0
2013,regular,5,AP Top 25,20,Florida,SEC,0
2013,regular,5,AP Top 25,21,Ole Miss,SEC,0
2013,regular,5,AP Top 25,22,Notre Dame,FBS Independents,0
2013,regular,5,AP Top 25,23,Wisconsin,Big Ten,0
2013,regular,5,AP Top 25,24,Texas Tech,Big 12,0
2013,regular,5,AP Top 25,25,Fresno State,Mountain West,0
2013,regular,5,Coaches Poll,1,Alabama,SEC,59
2013,regular,5,Coaches Poll,2,Oregon,Pac-12,3
2013,regular,5,Coaches Poll,3,Ohio State,Big Ten,0
2013,regular,5,Coaches Poll,4,Clemson,ACC,0
2013,regular,5,Coaches Poll,5,Stanford,Pac-12,0
2013,regular,5,Coaches Poll,6,LSU,SEC,0
2013,regular,5,Coaches Poll,7,Louisville,American Athletic,0
2013,regular,5,Coaches Poll,8,Florida State,ACC,0
2013,regular,5,Coaches Poll,9,Texas A&M,SEC,0
2013,regular,5,Coaches Poll,10,Georgia,SEC,0
2013,regular,5,Coaches Poll,11,Oklahoma State,Big 12,0
2013,regular,5,Coaches Poll,12,Oklahoma,Big 12,0
2013,regular,5,Coaches Poll,13,South Carolina,SEC,0
2013,regular,5,Coaches Poll,14,UCLA,Pac-12,0
2013,regular,5,Coaches Poll,15,Miami,ACC,0
2013,regular,5,Coaches Poll,16,Northwestern,Big Ten,0
2013,regular,5,Coaches Poll,17,Michigan,Big Ten,0
2013,regular,5,Coaches Poll,18,Baylor,Big 12,0
2013,regular,5,Coaches Poll,19,Florida,SEC,0
2013,regular,5,Coaches Poll,20,Washington,Pac-12,0
2013,regular,5,Coaches Poll,21,Ole Miss,SEC,0
2013,regular,5,Coaches Poll,22,Notre Dame,FBS Independents,0
2013,regular,5,Coaches Poll,23,Fresno State,Mountain West,0
2013,regular,5,Coaches Poll,24,Wisconsin,Big Ten,0
2013,regular,5,Coaches Poll,25,Texas Tech,Big 12,0
2013,regular,5,AFCA Division II Coaches Poll,1,Valdosta State,,29
2013,regular,5,AFCA Division II Coaches Poll,2,Minnesota State Mankato,,2
2013,regular,5,AFCA Division II Coaches Poll,3,Northwest Missouri St,,0
2013,regular,5,AFCA Division II Coaches Poll,4,West Texas A&M,,0
2013,regular,5,AFCA Division II Coaches Poll,5,CSU Pueblo,,1
2013,regular,5,AFCA Division II Coaches Poll,6,Missouri Western,,0
2013,regular,5,AFCA Division II Coaches Poll,7,Indiana-Pennsylvania,,0
2013,regular,5,AFCA Division II Coaches Poll,8,Henderson State,,0
2013,regular,5,AFCA Division II Coaches Poll,9,Grand Valley State University,,0
2013,regular,5,AFCA Division II Coaches Poll,10,Carson-Newman College,,0
2013,regular,5,AFCA Division II Coaches Poll,11,Bloomsburg,,0
2013,regular,5,AFCA Division II Coaches Poll,12,Pittsburg St,,0
2013,regular,5,AFCA Division II Coaches Poll,13,Minnesota Duluth,,0
2013,regular,5,AFCA Division II Coaches Poll,14,Shepherd,,0
2013,regular,5,AFCA Division II Coaches Poll,15,West Alabama,,0
2013,regular,5,AFCA Division II Coaches Poll,16,UNC Pembroke,,0
2013,regular,5,AFCA Division II Coaches Poll,17,Winston-Salem,CIAA,0
2013,regular,5,AFCA Division II Coaches Poll,18,Washburn,,0
2013,regular,5,AFCA Division II Coaches Poll,19,West Chester,,0
2013,regular,5,AFCA Division II Coaches Poll,20,St. Cloud State,,0
2013,regular,5,AFCA Division II Coaches Poll,21,Chadron St,,0
2013,regular,5,AFCA Division II Coaches Poll,22,Indianapolis,,0
2013,regular,5,AFCA Division II Coaches Poll,23,Midwestern State,,0
2013,regular,5,AFCA Division II Coaches Poll,24,Emporia State University,,0
2013,regular,5,AFCA Division II Coaches Poll,25,Tarleton State,,0
2013,regular,6,AP Top 25,1,Alabama,SEC,55
2013,regular,6,AP Top 25,2,Oregon,Pac-12,5
2013,regular,6,AP Top 25,3,Clemson,ACC,0
2013,regular,6,AP Top 25,4,Ohio State,Big Ten,0
2013,regular,6,AP Top 25,5,Stanford,Pac-12,0
2013,regular,6,AP Top 25,6,Georgia,SEC,0
2013,regular,6,AP Top 25,7,Louisville,American Athletic,0
2013,regular,6,AP Top 25,8,Florida State,ACC,0
2013,regular,6,AP Top 25,9,Texas A&M,SEC,0
2013,regular,6,AP Top 25,10,LSU,SEC,0
2013,regular,6,AP Top 25,11,Oklahoma,Big 12,0
2013,regular,6,AP Top 25,12,UCLA,Pac-12,0
2013,regular,6,AP Top 25,13,South Carolina,SEC,0
2013,regular,6,AP Top 25,14,Miami,ACC,0
2013,regular,6,AP Top 25,15,Washington,Pac-12,0
2013,regular,6,AP Top 25,16,Northwestern,Big Ten,0
2013,regular,6,AP Top 25,17,Baylor,Big 12,0
2013,regular,6,AP Top 25,18,Florida,SEC,0
2013,regular,6,AP Top 25,19,Michigan,Big Ten,0
2013,regular,6,AP Top 25,20,Texas Tech,Big 12,0
2013,regular,6,AP Top 25,21,Oklahoma State,Big 12,0
2013,regular,6,AP Top 25,22,Arizona State,Pac-12,0
2013,regular,6,AP Top 25,23,Fresno State,Mountain West,0
2013,regular,6,AP Top 25,24,Ole Miss,SEC,0
2013,regular,6,AP Top 25,25,Maryland,ACC,0
2013,regular,6,Coaches Poll,1,Alabama,SEC,57
2013,regular,6,Coaches Poll,2,Oregon,Pac-12,4
2013,regular,6,Coaches Poll,3,Ohio State,Big Ten,0
2013,regular,6,Coaches Poll,4,Clemson,ACC,1
2013,regular,6,Coaches Poll,5,Stanford,Pac-12,0
2013,regular,6,Coaches Poll,6,Florida State,ACC,0
2013,regular,6,Coaches Poll,7,Georgia,SEC,0
2013,regular,6,Coaches Poll,8,Louisville,American Athletic,0
2013,regular,6,Coaches Poll,9,Texas A&M,SEC,0
2013,regular,6,Coaches Poll,10,Oklahoma,Big 12,0
2013,regular,6,Coaches Poll,11,LSU,SEC,0
2013,regular,6,Coaches Poll,12,South Carolina,SEC,0
2013,regular,6,Coaches Poll,13,UCLA,Pac-12,0
2013,regular,6,Coaches Poll,14,Miami,ACC,0
2013,regular,6,Coaches Poll,15,Baylor,Big 12,0
2013,regular,6,Coaches Poll,16,Michigan,Big Ten,0
2013,regular,6,Coaches Poll,17,Florida,SEC,0
2013,regular,6,Coaches Poll,18,Northwestern,Big Ten,0
2013,regular,6,Coaches Poll,19,Washington,Pac-12,0
2013,regular,6,Coaches Poll,20,Oklahoma State,Big 12,0
2013,regular,6,Coaches Poll,21,Texas Tech,Big 12,0
2013,regular,6,Coaches Poll,22,Fresno State,Mountain West,0
2013,regular,6,Coaches Poll,23,Northern Illinois,Mid-American,0
2013,regular,6,Coaches Poll,24,Nebraska,Big Ten,0
2013,regular,6,Coaches Poll,25,Virginia Tech,ACC,0
2013,regular,6,AFCA Division II Coaches Poll,1,Valdosta State,,30
2013,regular,6,AFCA Division II Coaches Poll,2,Minnesota State Mankato,,2
2013,regular,6,AFCA Division II Coaches Poll,3,Northwest Missouri St,,0
2013,regular,6,AFCA Division II Coaches Poll,4,West Texas A&M,,0
2013,regular,6,AFCA Division II Coaches Poll,5,CSU Pueblo,,0
2013,regular,6,AFCA Division II Coaches Poll,6,Missouri Western,,0
2013,regular,6,AFCA Division II Coaches Poll,7,Indiana-Pennsylvania,,0
2013,regular,6,AFCA Division II Coaches Poll,8,Henderson State,,0
2013,regular,6,AFCA Division II Coaches Poll,9,Bloomsburg,,0
2013,regular,6,AFCA Division II Coaches Poll,10,Pittsburg St,,0
2013,regular,6,AFCA Division II Coaches Poll,11,Minnesota Duluth,,0
2013,regular,6,AFCA Division II Coaches Poll,12,Shepherd,,0
2013,regular,6,AFCA Division II Coaches Poll,13,UNC Pembroke,,0
2013,regular,6,AFCA Division II Coaches Poll,14,West Alabama,,0
2013,regular,6,AFCA Division II Coaches Poll,15,Washburn,,0
2013,regular,6,AFCA Division II Coaches Poll,16,Winston-Salem,CIAA,0
2013,regular,6,AFCA Division II Coaches Poll,17,West Chester,,0
2013,regular,6,AFCA Division II Coaches Poll,18,St. Cloud State,,0
2013,regular,6,AFCA Division II Coaches Poll,19,Chadron St,,0
2013,regular,6,AFCA Division II Coaches Poll,20,Carson-Newman College,,0
2013,regular,6,AFCA Division II Coaches Poll,21,Indianapolis,,0
2013,regular,6,AFCA Division II Coaches Poll,22,Tarleton State,,0
2013,regular,6,AFCA Division II Coaches Poll,23,Ohio Dominican,,0
2013,regular,6,AFCA Division II Coaches Poll,24,Emporia State University,,0
2013,regular,6,AFCA Division II Coaches Poll,25,Grand Valley State University,,0
2013,regular,7,AP Top 25,1,Alabama,SEC,55
2013,regular,7,AP Top 25,2,Oregon,Pac-12,5
2013,regular,7,AP Top 25,3,Clemson,ACC,0
2013,regular,7,AP Top 25,4,Ohio State,Big Ten,0
2013,regular,7,AP Top 25,5,Stanford,Pac-12,0
2013,regular,7,AP Top 25,6,Florida State,ACC,0
2013,regular,7,AP Top 25,7,Georgia,SEC,0
2013,regular,7,AP Top 25,8,Louisville,American Athletic,0
2013,regular,7,AP Top 25,9,Texas A&M,SEC,0
2013,regular,7,AP Top 25,10,LSU,SEC,0
2013,regular,7,AP Top 25,11,UCLA,Pac-12,0
2013,regular,7,AP Top 25,12,Oklahoma,Big 12,0
2013,regular,7,AP Top 25,13,Miami,ACC,0
2013,regular,7,AP Top 25,14,South Carolina,SEC,0
