season,season_type,week,poll,rank,school,conference,first_place_votes
2014,regular,2,Coaches Poll,7,Ohio State,Big Ten,0
2014,regular,2,Coaches Poll,8,Georgia,SEC,1
2014,regular,2,Coaches Poll,9,Baylor,Big 12,0
2014,regular,2,Coaches Poll,10,Stanford,Pac-12,0
2014,regular,2,Coaches Poll,11,UCLA,Pac-12,0
2014,regular,2,Coaches Poll,12,LSU,SEC,0
2014,regular,2,Coaches Poll,13,Texas A&M,SEC,0
2014,regular,2,Coaches Poll,14,USC,Pac-12,0
2014,regular,2,Coaches Poll,15,Notre Dame,FBS Independents,0
2014,regular,2,Coaches Poll,16,Arizona State,Pac-12,0
2014,regular,2,Coaches Poll,17,Ole Miss,SEC,0
2014,regular,2,Coaches Poll,18,Nebraska,Big Ten,0
2014,regular,2,Coaches Poll,19,Wisconsin,Big Ten,0
2014,regular,2,Coaches Poll,20,Kansas State,Big 12,0
2014,regular,2,Coaches Poll,21,South Carolina,SEC,0
2014,regular,2,Coaches Poll,22,Missouri,SEC,0
2014,regular,2,Coaches Poll,23,North Carolina,ACC,0
2014,regular,2,Coaches Poll,24,Clemson,ACC,0
2014,regular,2,Coaches Poll,25,Texas,Big 12,0
2014,regular,2,FCS Coaches Poll,1,North Dakota State,MVFC,24
2014,regular,2,FCS Coaches Poll,2,Eastern Washington,Big Sky,2
2014,regular,2,FCS Coaches Poll,3,SE Louisiana,Southland,0
2014,regular,2,FCS Coaches Poll,4,Coastal Carolina,Big South,0
2014,regular,2,FCS Coaches Poll,5,Montana,Big Sky,0
2014,regular,2,FCS Coaches Poll,6,McNeese,Southland,0
2014,regular,2,FCS Coaches Poll,7,Villanova,CAA,0
2014,regular,2,FCS Coaches Poll,8,New Hampshire,CAA,0
2014,regular,2,FCS Coaches Poll,9,Jacksonville State,OVC,0
2014,regular,2,FCS Coaches Poll,10,Fordham,Patriot,0
2014,regular,2,FCS Coaches Poll,11,South Dakota State,MVFC,0
2014,regular,2,FCS Coaches Poll,12,Northern Iowa,MVFC,0
2014,regular,2,FCS Coaches Poll,13,Sam Houston,Southland,0
2014,regular,2,FCS Coaches Poll,14,Eastern Illinois,OVC,0
2014,regular,2,FCS Coaches Poll,15,Chattanooga,Southern,0
2014,regular,2,FCS Coaches Poll,16,Tennessee State,OVC,0
2014,regular,2,FCS Coaches Poll,17,Furman,Southern,0
2014,regular,2,FCS Coaches Poll,18,Bethune-Cookman,MEAC,0
2014,regular,2,FCS Coaches Poll,19,Towson,CAA,0
2014,regular,2,FCS Coaches Poll,20,Richmond,CAA,0
2014,regular,2,FCS Coaches Poll,21,Youngstown State,MVFC,0
2014,regular,2,FCS Coaches Poll,22,Maine,CAA,0
2014,regular,2,FCS Coaches Poll,23,Montana State,Big Sky,0
2014,regular,2,FCS Coaches Poll,24,William & Mary,CAA,0
2014,regular,2,FCS Coaches Poll,25,Southern Illinois,MVFC,0
2014,regular,3,AP Top 25,1,Florida State,ACC,38
2014,regular,3,AP Top 25,2,Oregon,Pac-12,16
2014,regular,3,AP Top 25,3,Alabama,SEC,1
2014,regular,3,AP Top 25,4,Oklahoma,Big 12,2
2014,regular,3,AP Top 25,5,Auburn,SEC,0
2014,regular,3,AP Top 25,6,Georgia,SEC,1
2014,regular,3,AP Top 25,7,Texas A&M,SEC,2
2014,regular,3,AP Top 25,8,Baylor,Big 12,0
2014,regular,3,AP Top 25,9,USC,Pac-12,0
2014,regular,3,AP Top 25,10,LSU,SEC,0
2014,regular,3,AP Top 25,11,Notre Dame,FBS Independents,0
2014,regular,3,AP Top 25,12,UCLA,Pac-12,0
2014,regular,3,AP Top 25,13,Michigan State,Big Ten,0
2014,regular,3,AP Top 25,14,Ole Miss,SEC,0
2014,regular,3,AP Top 25,15,Stanford,Pac-12,0
2014,regular,3,AP Top 25,16,Arizona State,Pac-12,0
2014,regular,3,AP Top 25,17,Virginia Tech,ACC,0
2014,regular,3,AP Top 25,18,Wisconsin,Big Ten,0
2014,regular,3,AP Top 25,19,Kansas State,Big 12,0
2014,regular,3,AP Top 25,20,Missouri,SEC,0
2014,regular,3,AP Top 25,21,Louisville,ACC,0
2014,regular,3,AP Top 25,22,Ohio State,Big Ten,0
2014,regular,3,AP Top 25,23,Clemson,ACC,0
2014,regular,3,AP Top 25,24,South Carolina,SEC,0
2014,regular,3,AP Top 25,25,BYU,FBS Independents,0
2014,regular,3,Coaches Poll,1,Florida State,ACC,51
2014,regular,3,Coaches Poll,2,Alabama,SEC,1
2014,regular,3,Coaches Poll,3,Oklahoma,Big 12,3
2014,regular,3,Coaches Poll,4,Oregon,Pac-12,6
2014,regular,3,Coaches Poll,5,Auburn,SEC,0
2014,regular,3,Coaches Poll,6,Georgia,SEC,1
2014,regular,3,Coaches Poll,7,Baylor,Big 12,0
2014,regular,3,Coaches Poll,8,Texas A&M,SEC,0
2014,regular,3,Coaches Poll,9,LSU,SEC,0
2014,regular,3,Coaches Poll,10,USC,Pac-12,0
2014,regular,3,Coaches Poll,11,Notre Dame,FBS Independents,0
2014,regular,3,Coaches Poll,12,UCLA,Pac-12,0
2014,regular,3,Coaches Poll,13,Michigan State,Big Ten,0
2014,regular,3,Coaches Poll,14,Arizona State,Pac-12,0
2014,regular,3,Coaches Poll,15,Ole Miss,SEC,0
2014,regular,3,Coaches Poll,16,Stanford,Pac-12,0
2014,regular,3,Coaches Poll,17,Wisconsin,Big Ten,0
2014,regular,3,Coaches Poll,18,Ohio State,Big Ten,0
2014,regular,3,Coaches Poll,19,Virginia Tech,ACC,0
2014,regular,3,Coaches Poll,20,Kansas State,Big 12,0
2014,regular,3,Coaches Poll,21,Nebraska,Big Ten,0
2014,regular,3,Coaches Poll,22,Missouri,SEC,0
2014,regular,3,Coaches Poll,23,South Carolina,SEC,0
2014,regular,3,Coaches Poll,24,Clemson,ACC,0
2014,regular,3,Coaches Poll,25,North Carolina,ACC,0
2014,regular,3,FCS Coaches Poll,1,North Dakota State,MVFC,25
2014,regular,3,FCS Coaches Poll,2,Eastern Washington,Big Sky,0
2014,regular,3,FCS Coaches Poll,3,SE Louisiana,Southland,1
2014,regular,3,FCS Coaches Poll,4,Montana,Big Sky,0
2014,regular,3,FCS Coaches Poll,5,Coastal Carolina,Big South,0
2014,regular,3,FCS Coaches Poll,6,McNeese,Southland,0
2014,regular,3,FCS Coaches Poll,7,Villanova,CAA,0
2014,regular,3,FCS Coaches Poll,8,Jacksonville State,OVC,0
2014,regular,3,FCS Coaches Poll,9,New Hampshire,CAA,0
2014,regular,3,FCS Coaches Poll,10,South Dakota State,MVFC,0
2014,regular,3,FCS Coaches Poll,11,Northern Iowa,MVFC,0
2014,regular,3,FCS Coaches Poll,12,Furman,Southern,0
2014,regular,3,FCS Coaches Poll,13,Bethune-Cookman,MEAC,0
2014,regular,3,FCS Coaches Poll,14,Southern Illinois,MVFC,0
2014,regular,3,FCS Coaches Poll,15,Sam Houston,Southland,0
2014,regular,3,FCS Coaches Poll,16,Youngstown State,MVFC,0
2014,regular,3,FCS Coaches Poll,17,Chattanooga,Southern,0
2014,regular,3,FCS Coaches Poll,18,Montana State,Big Sky,0
2014,regular,3,FCS Coaches Poll,19,William & Mary,CAA,0
2014,regular,3,FCS Coaches Poll,20,Maine,CAA,0
2014,regular,3,FCS Coaches Poll,21,Richmond,CAA,0
2014,regular,3,FCS Coaches Poll,22,Tennessee State,OVC,0
2014,regular,3,FCS Coaches Poll,23,Fordham,Patriot,0
2014,regular,3,FCS Coaches Poll,24,Eastern Illinois,OVC,0
2014,regular,3,FCS Coaches Poll,25,Eastern Kentucky,OVC,0
2014,regular,4,AP Top 25,1,Florida State,ACC,37
2014,regular,4,AP Top 25,2,Oregon,Pac-12,17
2014,regular,4,AP Top 25,3,Alabama,SEC,1
2014,regular,4,AP Top 25,4,Oklahoma,Big 12,2
2014,regular,4,AP Top 25,5,Auburn,SEC,0
2014,regular,4,AP Top 25,6,Texas A&M,SEC,3
2014,regular,4,AP Top 25,7,Baylor,Big 12,0
2014,regular,4,AP Top 25,8,LSU,SEC,0
2014,regular,4,AP Top 25,9,Notre Dame,FBS Independents,0
2014,regular,4,AP Top 25,10,Ole Miss,SEC,0
2014,regular,4,AP Top 25,11,Michigan State,Big Ten,0
2014,regular,4,AP Top 25,12,UCLA,Pac-12,0
2014,regular,4,AP Top 25,13,Georgia,SEC,0
2014,regular,4,AP Top 25,14,South Carolina,SEC,0
2014,regular,4,AP Top 25,15,Arizona State,Pac-12,0
2014,regular,4,AP Top 25,16,Stanford,Pac-12,0
2014,regular,4,AP Top 25,17,USC,Pac-12,0
2014,regular,4,AP Top 25,18,Missouri,SEC,0
2014,regular,4,AP Top 25,19,Wisconsin,Big Ten,0
2014,regular,4,AP Top 25,20,Kansas State,Big 12,0
2014,regular,4,AP Top 25,21,BYU,FBS Independents,0
2014,regular,4,AP Top 25,22,Clemson,ACC,0
2014,regular,4,AP Top 25,23,Ohio State,Big Ten,0
2014,regular,4,AP Top 25,24,Nebraska,Big Ten,0
2014,regular,4,AP Top 25,25,Oklahoma State,Big 12,0
2014,regular,4,Coaches Poll,1,Florida State,ACC,50
2014,regular,4,Coaches Poll,2,Alabama,SEC,1
2014,regular,4,Coaches Poll,3,Oregon,Pac-12,6
2014,regular,4,Coaches Poll,4,Oklahoma,Big 12,4
2014,regular,4,Coaches Poll,5,Auburn,SEC,0
2014,regular,4,Coaches Poll,6,Baylor,Big 12,0
2014,regular,4,Coaches Poll,7,Texas A&M,SEC,0
2014,regular,4,Coaches Poll,8,LSU,SEC,0
2014,regular,4,Coaches Poll,9,Notre Dame,FBS Independents,0
2014,regular,4,Coaches Poll,10,UCLA,Pac-12,0
2014,regular,4,Coaches Poll,11,Michigan State,Big Ten,0
2014,regular,4,Coaches Poll,12,Ole Miss,SEC,0
2014,regular,4,Coaches Poll,13,Arizona State,Pac-12,0
2014,regular,4,Coaches Poll,14,Georgia,SEC,0
2014,regular,4,Coaches Poll,15,Stanford,Pac-12,0
2014,regular,4,Coaches Poll,16,South Carolina,SEC,0
2014,regular,4,Coaches Poll,17,Wisconsin,Big Ten,0
2014,regular,4,Coaches Poll,18,Ohio State,Big Ten,0
2014,regular,4,Coaches Poll,19,Missouri,SEC,0
2014,regular,4,Coaches Poll,20,Kansas State,Big 12,0
2014,regular,4,Coaches Poll,21,USC,Pac-12,0
2014,regular,4,Coaches Poll,22,Nebraska,Big Ten,0
2014,regular,4,Coaches Poll,23,BYU,FBS Independents,0
2014,regular,4,Coaches Poll,24,Clemson,ACC,0
2014,regular,4,Coaches Poll,25,North Carolina,ACC,0
2014,regular,4,FCS Coaches Poll,1,North Dakota State,MVFC,25
2014,regular,4,FCS Coaches Poll,2,Eastern Washington,Big Sky,1
2014,regular,4,FCS Coaches Poll,3,Montana,Big Sky,0
2014,regular,4,FCS Coaches Poll,4,SE Louisiana,Southland,0
2014,regular,4,FCS Coaches Poll,5,Coastal Carolina,Big South,0
2014,regular,4,FCS Coaches Poll,6,McNeese,Southland,0
2014,regular,4,FCS Coaches Poll,7,Villanova,CAA,0
2014,regular,4,FCS Coaches Poll,8,Jacksonville State,OVC,0
2014,regular,4,FCS Coaches Poll,9,New Hampshire,CAA,0
2014,regular,4,FCS Coaches Poll,10,South Dakota State,MVFC,0
2014,regular,4,FCS Coaches Poll,11,Northern Iowa,MVFC,0
2014,regular,4,FCS Coaches Poll,12,Bethune-Cookman,MEAC,0
2014,regular,4,FCS Coaches Poll,13,Southern Illinois,MVFC,0
2014,regular,4,FCS Coaches Poll,14,Chattanooga,Southern,0
2014,regular,4,FCS Coaches Poll,15,Youngstown State,MVFC,0
2014,regular,4,FCS Coaches Poll,16,Montana State,Big Sky,0
2014,regular,4,FCS Coaches Poll,17,William & Mary,CAA,0
2014,regular,4,FCS Coaches Poll,18,Richmond,CAA,0
2014,regular,4,FCS Coaches Poll,19,Fordham,Patriot,0
2014,regular,4,FCS Coaches Poll,20,Tennessee State,OVC,0
2014,regular,4,FCS Coaches Poll,21,Furman,Southern,0
2014,regular,4,FCS Coaches Poll,22,Eastern Kentucky,OVC,0
2014,regular,4,FCS Coaches Poll,23,Northern Arizona,Big Sky,0
2014,regular,4,FCS Coaches Poll,24,Illinois State,MVFC,0
2014,regular,4,FCS Coaches Poll,25,Sam Houston,Southland,0
2014,regular,4,FCS Coaches Poll,25,Bryant,NEC,0
2014,regular,5,AP Top 25,1,Florida State,ACC,34
2014,regular,5,AP Top 25,2,Oregon,Pac-12,12
2014,regular,5,AP Top 25,3,Alabama,SEC,6
2014,regular,5,AP Top 25,4,Oklahoma,Big 12,4
2014,regular,5,AP Top 25,5,Auburn,SEC,0
2014,regular,5,AP Top 25,6,Texas A&M,SEC,4
2014,regular,5,AP Top 25,7,Baylor,Big 12,0
2014,regular,5,AP Top 25,8,Notre Dame,FBS Independents,0
2014,regular,5,AP Top 25,9,Michigan State,Big Ten,0
2014,regular,5,AP Top 25,10,Ole Miss,SEC,0
2014,regular,5,AP Top 25,11,UCLA,Pac-12,0
2014,regular,5,AP Top 25,12,Georgia,SEC,0
2014,regular,5,AP Top 25,13,South Carolina,SEC,0
2014,regular,5,AP Top 25,14,Mississippi State,SEC,0
2014,regular,5,AP Top 25,15,Arizona State,Pac-12,0
2014,regular,5,AP Top 25,16,Stanford,Pac-12,0
2014,regular,5,AP Top 25,17,LSU,SEC,0
2014,regular,5,AP Top 25,18,USC,Pac-12,0
2014,regular,5,AP Top 25,19,Wisconsin,Big Ten,0
2014,regular,5,AP Top 25,20,BYU,FBS Independents,0
2014,regular,5,AP Top 25,21,Nebraska,Big Ten,0
2014,regular,5,AP Top 25,22,Ohio State,Big Ten,0
2014,regular,5,AP Top 25,23,East Carolina,American Athletic,0
2014,regular,5,AP Top 25,24,Oklahoma State,Big 12,0
2014,regular,5,AP Top 25,25,Kansas State,Big 12,0
2014,regular,5,Coaches Poll,1,Florida State,ACC,36
2014,regular,5,Coaches Poll,2,Alabama,SEC,11
2014,regular,5,Coaches Poll,3,Oklahoma,Big 12,12
2014,regular,5,Coaches Poll,4,Oregon,Pac-12,3
2014,regular,5,Coaches Poll,5,Auburn,SEC,0
2014,regular,5,Coaches Poll,6,Baylor,Big 12,0
2014,regular,5,Coaches Poll,7,Texas A&M,SEC,0
2014,regular,5,Coaches Poll,8,Notre Dame,FBS Independents,0
2014,regular,5,Coaches Poll,9,Michigan State,Big Ten,0
2014,regular,5,Coaches Poll,10,UCLA,Pac-12,0
2014,regular,5,Coaches Poll,11,Ole Miss,SEC,0
2014,regular,5,Coaches Poll,12,Arizona State,Pac-12,0
2014,regular,5,Coaches Poll,13,Georgia,SEC,0
2014,regular,5,Coaches Poll,14,Stanford,Pac-12,0
2014,regular,5,Coaches Poll,15,South Carolina,SEC,0
2014,regular,5,Coaches Poll,16,Mississippi State,SEC,0
2014,regular,5,Coaches Poll,17,Wisconsin,Big Ten,0
2014,regular,5,Coaches Poll,18,LSU,SEC,0
2014,regular,5,Coaches Poll,19,Nebraska,Big Ten,0
2014,regular,5,Coaches Poll,20,Ohio State,Big Ten,0
2014,regular,5,Coaches Poll,21,BYU,FBS Independents,0
2014,regular,5,Coaches Poll,22,USC,Pac-12,0
2014,regular,5,Coaches Poll,23,Duke,ACC,0
2014,regular,5,Coaches Poll,24,East Carolina,American Athletic,0
2014,regular,5,Coaches Poll,25,Kansas State,Big 12,0
2014,regular,5,FCS Coaches Poll,1,North Dakota State,MVFC,26
2014,regular,5,FCS Coaches Poll,2,Eastern Washington,Big Sky,0
2014,regular,5,FCS Coaches Poll,3,Coastal Carolina,Big South,0
2014,regular,5,FCS Coaches Poll,4,McNeese,Southland,0
2014,regular,5,FCS Coaches Poll,5,Villanova,CAA,0
2014,regular,5,FCS Coaches Poll,6,Montana,Big Sky,0
2014,regular,5,FCS Coaches Poll,7,New Hampshire,CAA,0
2014,regular,5,FCS Coaches Poll,8,Jacksonville State,OVC,0
2014,regular,5,FCS Coaches Poll,9,South Dakota State,MVFC,0
2014,regular,5,FCS Coaches Poll,10,Northern Iowa,MVFC,0
2014,regular,5,FCS Coaches Poll,11,SE Louisiana,Southland,0
2014,regular,5,FCS Coaches Poll,12,Youngstown State,MVFC,0
2014,regular,5,FCS Coaches Poll,13,William & Mary,CAA,0
2014,regular,5,FCS Coaches Poll,14,Bethune-Cookman,MEAC,0
2014,regular,5,FCS Coaches Poll,15,Chattanooga,Southern,0
2014,regular,5,FCS Coaches Poll,16,Southern Illinois,MVFC,0
2014,regular,5,FCS Coaches Poll,17,Montana State,Big Sky,0
2014,regular,5,FCS Coaches Poll,18,Eastern Kentucky,OVC,0
2014,regular,5,FCS Coaches Poll,19,Fordham,Patriot,0
2014,regular,5,FCS Coaches Poll,20,Tennessee State,OVC,0
2014,regular,5,FCS Coaches Poll,21,Richmond,CAA,0
2014,regular,5,FCS Coaches Poll,22,Illinois State,MVFC,0
2014,regular,5,FCS Coaches Poll,23,Liberty,Big South,0
2014,regular,5,FCS Coaches Poll,24,Missouri State,MVFC,0
2014,regular,5,FCS Coaches Poll,25,Charleston Southern,Big South,0
2014,regular,5,AFCA Division II Coaches Poll,1,Northwest Missouri St,Mid America,29
2014,regular,5,AFCA Division II Coaches Poll,2,CSU Pueblo,Rocky Mountain,2
2014,regular,5,AFCA Division II Coaches Poll,3,Minnesota State Mankato,Northern Sun,0
2014,regular,5,AFCA Division II Coaches Poll,4,Minnesota Duluth,Northern Sun,0
2014,regular,5,AFCA Division II Coaches Poll,5,North Alabama,Gulf South,0
2014,regular,5,AFCA Division II Coaches Poll,6,Lenoir-Rhyne,South Atlantic,0
2014,regular,5,AFCA Division II Coaches Poll,7,Henderson State,Great American,0
2014,regular,5,AFCA Division II Coaches Poll,8,Pittsburg St,Mid America,0
2014,regular,5,AFCA Division II Coaches Poll,9,Ohio Dominican,GLIAC,0
2014,regular,5,AFCA Division II Coaches Poll,10,West Chester,Pennsylvania State Athletic,0
2014,regular,5,AFCA Division II Coaches Poll,11,Shepherd,Mountain East,0
2014,regular,5,AFCA Division II Coaches Poll,12,Delta State,Gulf South,0
2014,regular,5,AFCA Division II Coaches Poll,13,Bloomsburg,Pennsylvania State Athletic,0
2014,regular,5,AFCA Division II Coaches Poll,14,Ferris State,GLIAC,0
2014,regular,5,AFCA Division II Coaches Poll,15,Winston-Salem,CIAA,0
2014,regular,5,AFCA Division II Coaches Poll,16,Harding University,Great American,0
2014,regular,5,AFCA Division II Coaches Poll,17,Colorado School Of Mines,Rocky Mountain,0
2014,regular,5,AFCA Division II Coaches Poll,18,Midwestern State,Lone Star,0
2014,regular,5,AFCA Division II Coaches Poll,19,Carson-Newman College,South Atlantic,0
2014,regular,5,AFCA Division II Coaches Poll,20,Winona State,Northern Sun,0
2014,regular,5,AFCA Division II Coaches Poll,21,Valdosta State,Gulf South,0
2014,regular,5,AFCA Division II Coaches Poll,22,Slippery Rock,Pennsylvania State Athletic,0
2014,regular,5,AFCA Division II Coaches Poll,23,West Alabama,Gulf South,0
2014,regular,5,AFCA Division II Coaches Poll,24,Sioux Falls,Northern Sun,0
2014,regular,5,AFCA Division II Coaches Poll,25,Findlay,GLIAC,0
2014,regular,6,AP Top 25,1,Florida State,ACC,27
2014,regular,6,AP Top 25,2,Oregon,Pac-12,13
2014,regular,6,AP Top 25,3,Alabama,SEC,13
2014,regular,6,AP Top 25,4,Oklahoma,Big 12,7
2014,regular,6,AP Top 25,5,Auburn,SEC,0
2014,regular,6,AP Top 25,6,Texas A&M,SEC,0
2014,regular,6,AP Top 25,7,Baylor,Big 12,0
2014,regular,6,AP Top 25,8,UCLA,Pac-12,0
2014,regular,6,AP Top 25,9,Notre Dame,FBS Independents,0
2014,regular,6,AP Top 25,10,Michigan State,Big Ten,0
2014,regular,6,AP Top 25,11,Ole Miss,SEC,0
2014,regular,6,AP Top 25,12,Mississippi State,SEC,0
2014,regular,6,AP Top 25,13,Georgia,SEC,0
2014,regular,6,AP Top 25,14,Stanford,Pac-12,0
2014,regular,6,AP Top 25,15,LSU,SEC,0
2014,regular,6,AP Top 25,16,USC,Pac-12,0
2014,regular,6,AP Top 25,17,Wisconsin,Big Ten,0
2014,regular,6,AP Top 25,18,BYU,FBS Independents,0
2014,regular,6,AP Top 25,19,Nebraska,Big Ten,0
2014,regular,6,AP Top 25,20,Ohio State,Big Ten,0
2014,regular,6,AP Top 25,21,Oklahoma State,Big 12,0
2014,regular,6,AP Top 25,22,East Carolina,American Athletic,0
2014,regular,6,AP Top 25,23,Kansas State,Big 12,0
2014,regular,6,AP Top 25,24,Missouri,SEC,0
2014,regular,6,AP Top 25,25,TCU,Big 12,0
2014,regular,6,Coaches Poll,1,Alabama,SEC,15
2014,regular,6,Coaches Poll,2,Florida State,ACC,26
2014,regular,6,Coaches Poll,3,Oklahoma,Big 12,14
2014,regular,6,Coaches Poll,4,Oregon,Pac-12,7
2014,regular,6,Coaches Poll,5,Auburn,SEC,0
2014,regular,6,Coaches Poll,6,Baylor,Big 12,0
2014,regular,6,Coaches Poll,7,Texas A&M,SEC,0
2014,regular,6,Coaches Poll,8,Notre Dame,FBS Independents,0
2014,regular,6,Coaches Poll,9,UCLA,Pac-12,0
2014,regular,6,Coaches Poll,10,Michigan State,Big Ten,0
