Date,Season,HomeTeam,AwayTeam
2026-06-11,2026,Dream,Liberty
2026-06-11,2026,Wings,Mercury
2026-06-11,2026,Fire,Aces
2026-06-12,2026,Mystics,Tempo
2026-06-12,2026,Storm,Valkyries
2026-06-13,2026,Sun,Fever
2026-06-13,2026,Aces,Lynx
2026-06-13,2026,Fire,Wings
2026-06-13,2026,Mercury,Sparks
2026-06-14,2026,Liberty,Mystics
2026-06-14,2026,Tempo,Dream
2026-06-15,2026,Wings,Aces
2026-06-15,2026,Lynx,Fire
2026-06-15,2026,Valkyries,Sparks
2026-06-16,2026,Fever,Tempo
2026-06-17,2026,Sun,Mystics
2026-06-17,2026,Sky,Liberty
2026-06-17,2026,Valkyries,Wings
2026-06-17,2026,Sparks,Lynx
2026-06-17,2026,Mercury,Aces
2026-06-17,2026,Fire,Storm
2026-06-18,2026,Fever,Dream
2026-06-19,2026,Sun,Tempo
2026-06-19,2026,Liberty,Mystics
2026-06-19,2026,Valkyries,Lynx
2026-06-20,2026,Dream,Fever
2026-06-20,2026,Mercury,Storm
2026-06-20,2026,Wings,Sky
2026-06-21,2026,Aces,Valkyries
2026-06-21,2026,Lynx,Mystics
2026-06-21,2026,Sparks,Liberty
2026-06-22,2026,Sun,Sky
2026-06-22,2026,Dream,Tempo
2026-06-22,2026,Fever,Mercury
2026-06-22,2026,Storm,Wings
2026-06-23,2026,Aces,Liberty
2026-06-24,2026,Fever,Mercury
2026-06-24,2026,Mystics,Lynx
2026-06-24,2026,Sky,Fire
2026-06-24,2026,Valkyries,Dream
2026-06-25,2026,Tempo,Sparks
2026-06-25,2026,Aces,Wings
2026-06-25,2026,Storm,Liberty
2026-06-26,2026,Sun,Mystics
2026-06-26,2026,Sky,Fire
2026-06-26,2026,Valkyries,Dream
2026-06-27,2026,Tempo,Mercury
2026-06-27,2026,Fever,Sparks
2026-06-27,2026,Storm,Dream
2026-06-28,2026,Wings,Lynx
2026-06-28,2026,Mystics,Fire
2026-06-28,2026,Sky,Aces
2026-06-28,2026,Valkyries,Liberty
2026-06-30,2026,Liberty,Aces
2026-07-02,2026,Mystics,Dream
2026-07-02,2026,Sun,Wings
2026-07-02,2026,Mercury,Storm
2026-07-03,2026,Liberty,Lynx
2026-07-03,2026,Aces,Sky
2026-07-04,2026,Dream,Valkyries
2026-07-04,2026,Storm,Fire
2026-07-05,2026,Tempo,Wings
2026-07-05,2026,Aces,Fever
2026-07-06,2026,Mystics,Valkyries
2026-07-06,2026,Lynx,Sun
2026-07-06,2026,Sparks,Storm
2026-07-07,2026,Liberty,Wings
2026-07-07,2026,Mercury,Sky
2026-07-08,2026,Tempo,Valkyries
2026-07-08,2026,Sun,Lynx
2026-07-08,2026,Sparks,Fever
2026-07-09,2026,Dream,Storm
2026-07-09,2026,Mercury,Fever
2026-07-09,2026,Fire,Aces
2026-07-10,2026,Sun,Valkyries
2026-07-10,2026,Tempo,Wings
2026-07-10,2026,Sparks,Sky
2026-07-11,2026,Lynx,Liberty
2026-07-11,2026,Dream,Fire
2026-07-11,2026,Aces,Mercury
2026-07-12,2026,Tempo,Liberty
2026-07-12,2026,Mystics,Storm
2026-07-12,2026,Wings,Sky
2026-07-12,2026,Aces,Fever
2026-07-13,2026,Dream,Sparks
2026-07-13,2026,Lynx,Mercury
2026-07-14,2026,Sun,Fire
2026-07-14,2026,Tempo,Mystics
2026-07-15,2026,Sky,Storm
2026-07-15,2026,Lynx,Sparks
2026-07-15,2026,Fever,Valkyries
2026-07-16,2026,Mystics,Fire
2026-07-16,2026,Wings,Liberty
2026-07-17,2026,Fever,Storm
2026-07-17,2026,Tempo,Dream
2026-07-17,2026,Sky,Sparks
2026-07-17,2026,Mercury,Sun
2026-07-18,2026,Fever,Liberty
2026-07-18,2026,Lynx,Fire
2026-07-18,2026,Valkyries,Mystics
2026-07-19,2026,Wings,Sparks
2026-07-19,2026,Dream,Sky
2026-07-19,2026,Mercury,Sun
2026-07-20,2026,Tempo,Aces
2026-07-20,2026,Wings,Liberty
2026-07-20,2026,Valkyries,Mystics
2026-07-20,2026,Storm,Lynx
2026-07-22,2026,Sparks,Mercury
2026-07-22,2026,Storm,Lynx
2026-07-22,2026,Liberty,Sky
2026-07-22,2026,Mystics,Aces
2026-07-22,2026,Fever,Sun
2026-07-22,2026,Fire,Wings
2026-07-25,2026,TEAM COOP,TEAM SPOON
2026-07-28,2026,Mystics,Sun
2026-07-28,2026,Lynx,Tempo
2026-07-28,2026,Storm,Fever
2026-07-28,2026,Aces,Fire
2026-07-28,2026,Sparks,Liberty
2026-07-29,2026,Wings,Dream
2026-07-29,2026,Mercury,Valkyries
2026-07-30,2026,Tempo,Lynx
2026-07-30,2026,Sky,Sun
2026-07-30,2026,Aces,Liberty
2026-07-31,2026,Dream,Storm
2026-07-31,2026,Mystics,Wings
2026-07-31,2026,Fire,Fever
2026-08-01,2026,Sky,Aces
2026-08-01,2026,Mercury,Liberty
2026-08-02,2026,Lynx,Fever
2026-08-02,2026,Fire,Sparks
2026-08-02,2026,Wings,Sun
2026-08-02,2026,Valkyries,Tempo
2026-08-03,2026,Dream,Aces
2026-08-03,2026,Liberty,Storm
2026-08-03,2026,Sky,Mercury
2026-08-04,2026,Valkyries,Tempo
2026-08-05,2026,Dream,Mercury
2026-08-05,2026,Liberty,Storm
2026-08-05,2026,Mystics,Wings
2026-08-05,2026,Sky,Sparks
2026-08-06,2026,Fever,Aces
2026-08-06,2026,Lynx,Sparks
2026-08-06,2026,Fire,Tempo
2026-08-07,2026,Sun,Mercury
2026-08-07,2026,Mystics,Dream
2026-08-07,2026,Wings,Valkyries
2026-08-08,2026,Lynx,Aces
2026-08-08,2026,Sky,Fever
2026-08-08,2026,Fire,Storm
2026-08-09,2026,Liberty,Aces
2026-08-09,2026,Mystics,Mercury
2026-08-09,2026,Lynx,Wings
2026-08-09,2026,Sparks,Valkyries
2026-08-10,2026,Dream,Tempo
2026-08-10,2026,Storm,Sky
2026-08-11,2026,Fever,Liberty
2026-08-11,2026,Aces,Mystics
2026-08-11,2026,Sparks,Mercury
2026-08-12,2026,Wings,Tempo
2026-08-12,2026,Valkyries,Sky
2026-08-12,2026,Fire,Lynx
2026-08-13,2026,Sun,Dream
2026-08-13,2026,Liberty,Sparks
2026-08-13,2026,Aces,Mystics
2026-08-14,2026,Fever,Wings
2026-08-14,2026,Storm,Fire
2026-08-15,2026,Sun,Liberty
2026-08-15,2026,Mystics,Sparks
2026-08-15,2026,Aces,Lynx
2026-08-16,2026,Storm,Sky
2026-08-16,2026,Dream,Fever
2026-08-16,2026,Mercury,Fire
2026-08-17,2026,Valkyries,Wings
2026-08-18,2026,Sun,Sparks
2026-08-18,2026,Tempo,Fever
2026-08-18,2026,Sky,Liberty
2026-08-18,2026,Aces,Dream
2026-08-19,2026,Mystics,Tempo
2026-08-19,2026,Valkyries,Lynx
2026-08-20,2026,Wings,Fever
2026-08-20,2026,Aces,Sun
2026-08-20,2026,Sparks,Dream
2026-08-21,2026,Mystics,Lynx
2026-08-21,2026,Sky,Valkyries
2026-08-21,2026,Tempo,Fire
2026-08-22,2026,Liberty,Fever
2026-08-22,2026,Sparks,Sun
2026-08-22,2026,Mercury,Dream
2026-08-23,2026,Wings,Storm
2026-08-23,2026,Sky,Fever
2026-08-23,2026,Fire,Mystics
2026-08-23,2026,Tempo,Aces
2026-08-24,2026,Lynx,Valkyries
2026-08-24,2026,Sparks,Dream
2026-08-25,2026,Sun,Sky
2026-08-25,2026,Wings,Fire
2026-08-25,2026,Mercury,Mystics
2026-08-26,2026,Sun,Valkyries
2026-08-26,2026,Storm,Tempo
2026-08-27,2026,Liberty,Valkyries
2026-08-27,2026,Mercury,Mystics
2026-08-28,2026,Dream,Fire
2026-08-28,2026,Fever,Sun
2026-08-28,2026,Aces,Tempo
2026-08-28,2026,Sparks,Mystics
2026-08-29,2026,Liberty,Sky
2026-08-29,2026,Mercury,Tempo
2026-08-30,2026,Dream,Lynx
2026-08-30,2026,Storm,Sparks
2026-08-30,2026,Fire,Valkyries
2026-08-30,2026,Wings,Sun
2026-09-17,2026,Dream,Sun
2026-09-17,2026,Sky,Mystics
2026-09-17,2026,Wings,Sparks
2026-09-17,2026,Fire,Mercury
2026-09-17,2026,Storm,Aces
2026-09-18,2026,Tempo,Fever
2026-09-18,2026,Lynx,Liberty
2026-09-18,2026,Valkyries,Fire
2026-09-19,2026,Wings,Mercury
2026-09-19,2026,Dream,Sky
2026-09-19,2026,Valkyries,Storm
2026-09-20,2026,Sun,Lynx
2026-09-20,2026,Tempo,Liberty
2026-09-20,2026,Fever,Mystics
2026-09-20,2026,Sparks,Fire
2026-09-20,2026,Aces,Storm
2026-09-21,2026,Liberty,Dream
2026-09-21,2026,Mercury,Wings
2026-09-22,2026,Mystics,Sun
2026-09-22,2026,Fever,Lynx
2026-09-22,2026,Sky,Tempo
2026-09-22,2026,Aces,Sparks
2026-09-22,2026,Fire,Valkyries
2026-09-23,2026,Liberty,Dream
2026-09-23,2026,Storm,Wings
2026-09-24,2026,Sun,Tempo
2026-09-24,2026,Mystics,Sky
2026-09-24,2026,Lynx,Fever
2026-09-24,2026,Sparks,Valkyries
2026-09-24,2026,Mercury,Aces
